Wladca; Malzonka; LataMalzenstwa; Pochodzenie
BOLES£AW I CHROBRY; nieznana z imienia ; 984 – 985; córka Rydygara, margrabiego Miœni
BOLES£AW I CHROBRY; nieznana z imienia; 986 – 987/89; wêgierska ksiê¿niczka
BOLES£AW I CHROBRY; Emnilda ; ok. 988 - 1013; córka ksiêcia s³owiañskiego, Dobromira
BOLES£AW I CHROBRY; Oda ; 1018 - 1025; córka Ekkeharda, margrabiego Miœni
KAZIMIERZ III WIELKI; Aldona Anna; 1325 - 1339; córka Giedymina, wielkiego ksiêcia litewskiego
KAZIMIERZ III WIELKI; Adelajda; 1341 - 1366/68; córka Henryka II ¯elaznego, landgrfa heskiego
KAZIMIERZ III WIELKI; Krystyna; 1356 - 1364; okreœlana nieraz jako na³o¿nica, bowiem œlub zawarto przed rozwi¹zaniem poprzedniego ma³¿eñstwa
KAZIMIERZ III WIELKI; Jadwiga-El¿bieta; 1365 - 1370; córka Henryka V, ksiêcia g³ogowskiego i ¿agañskiego
MIESZKO I; nieznana, zaœlubiona w obrz¹dku pogañskim; przed 965; nieznane
MIESZKO I; nieznana, zaœlubiona w obrz¹dku pogañskim; przed 965; nieznane
MIESZKO I; nieznana, zaœlubiona w obrz¹dku pogañskim; przed 965; nieznane
MIESZKO I; nieznana, zaœlubiona w obrz¹dku pogañskim; przed 965; nieznane
MIESZKO I; nieznana, zaœlubiona w obrz¹dku pogañskim; przed 965; nieznane
MIESZKO I; nieznana, zaœlubiona w obrz¹dku pogañskim; przed 965; nieznane
MIESZKO I; nieznana, zaœlubiona w obrz¹dku pogañskim; przed 965; nieznane
MIESZKO I; Dobrawa; 965 – 977; córka Boles³awa I, ksiêcia Czech
MIESZKO I; Oda; 979/80 - 992; córka Dytryka, magrabiego Marchii Pó³nocnej
MIESZKO II; Rycheza; 1013 - 1034; córka Herenfrieda Ezzona, palatyna reñskiego
PRZEMYS£ II; Ludgarda; 1273 - 1283; córka Henryka I Pielgrzyma, ksiêcia Meklemburgii
PRZEMYS£ II; Ryksa; 1285 - przed 1293; córka Waldemara, króla Szwecji
PRZEMYS£ II; Ma³gorzata; 1293 - 1296; córka Albrechta III, margrabiego brandenburskiego
W£ADYS£AW I £OKIETEK; Jadwiga; ok. 1279 - 1333; córka Boles³awa Pobo¿nego
W£ADYS£AW II JAGIE££O; Jadwiga Andegaweñska; 1386 - 1399; 
W£ADYS£AW II JAGIE££O; Anna; 1402 - 1416; córka Wilhelma, hrabiego Cilly, wnuczka Kazimierza III Wielkiego
W£ADYS£AW II JAGIE££O; El¿bieta; 1417 - 1420; córka Ottona z Pilczy, wojewody sandomierskiego, wdowa po Wincentym z Granowa, ksztelanie nakielskim
W£ADYS£AW II JAGIE££O; Zofia (Sonka); 1422 - 1434; córka Andrzeja, ksiêcia Holszañskiego
ZYGMUNT II AUGUST; El¿bieta Habsbur¿anka; 1543 - 1545; córka Ferdynanda I, cesarza rzymskiego
ZYGMUNT II AUGUST; Barbara; 1547 - 1551; córka Jerzego Radziwi³³a, kasztelana wileñskiego i hetmana wielkiego litewskiego, wdowa po Stanis³awie Gaszto³dzie
ZYGMUNT II AUGUST; Katarzyna Habsbur¿anka; 1553 - 1572; córka Ferdynanda I, cesarza rzymskiego, wdowa po Franciszku III, ksiêciu Mantui
