22212121111 102020112211112201010
22202221 221122021101221011002
101000101011222 111122002212001020110
111220101021 201110101021002021120
22 202221120112001020101
2021 2002112011202102000220122000111
1 2100210220210211121102221122200
211220102221211120111111 1102100112120000111110121010201
122 1212100212122022001100222211010
221 1120212020021222011101000021021
21210201101202201212122201100000212112 12000011022211010202211211222101120000220
1110211020012202212102202200021102001 21110001222021000221112000010122022202002
21020000200012022220210 11112221102102212221122102201202120222121
2 11101200110020121212221210100120200022001
1020002220112122120000101010111 21220112012001202222001010021002120221011
111120110211101021010010200021101220122210212 121022012020020201112211021122022200011120211022200
111110102112201202010000012010111010001020101021 121201002121121002200021101121211110222111221210201
220212222002000012 201210220210011102202011002210211201121212020202212
2020 112011012202012001020111200121002120012102110222002
1120111212112 220211212010020120011011210110011210020200102122210
21121222022122 2110220112112201021112221001212111211022202020000010210201211
210011110122020 1010120212022110020111110220100200210110102111211112101011112
1102211221220212220201002000010122021000 2122220212212100220122000111100022200110111221020010110102012
1111011110122122010021210020121011021102202 2200121212120102122211000100000000010021001222120002111010212
200120122220222111111011 1010210012010001220101100222212012021121120220110002012111121
222221122022200102022201101021210210 202202020000110211001202212012020010001212122121211121211211002
100001112212100 110000120012220011201221120102001022011020221112221111211222200
22022021100112021021011210000211221021102001 210102220200111202212222202211010111010112212101222110001202202
202002201200122111012 210211111020112220022200210102011220020200210201002212012111222
10220202011011122121001201120002112000222102 211122011002021120202211221121210121000002122000102101221201122
11201000002011020210021012021021021 2102022221200200110002120211002010210010110200010112110200002110
2100022021102012010112000221210002200002200 1022112101121002222120122201012022020002102221011002200222222120
1111021011011200120020201222200010212 2100112020120021100202101200212012000100010122201100100222202220
2 1220011210000121221200110111222221101220220221212021220122220222
1210111221020010022121211011122201210022200 1121002022012212021012200112002100200001201101111010101012100211
22102010221112221002 1222202000221112212221102012120120102021200121101020020100200201
1010 1212112022012022200220210222021100122202101110020202222212111000
12202121010020021020111010211102010010202121210111102002011221 2101021020222022021112222202221112212202022200110200200121111112
21102010012002221121020212101120012222100 1120100220100201020200002200000200020221201221100111021111122020
211021120000120221021211020210012121020002020 1222202102022221011110200110100120200101022120211122101212121022
10200020002112001122020221221120101121020102120022212201120202 2021212210022220212222122210011210000110122101220222122110022021
2020112100111111000211121121010001020022 2221222120202210100021012120110101201020220021100122210111001222
21011111120220000020012111220222211202001220 1000111110220220011121120222102220102010210211220002222111212101
1211200201222102122221110100112 1202000011001222011220021010220001011212021220000121201022200110
20010201210120212102002202 1000021001011001100110212002112000202220010101001011211001012121
1221012000100120222210121111122000011101012221122102220211022002 2112022112222210220011012101020111011022221220222212120111202011
1022202020100112011002222101101121012222000021211110021200010211 2002111021022001101000101122221122111201111101021202220200022200
1120001020102220011022220222222010101220201021220012020210011220 1001021200022111022122110200122100200112100211210120100000021021
2221111200212021010101222002111202022202220211000210022022002220 1221221111111120022002101220201010112112110210001200001111010001
1102122012220000101022100001221112210101212221102011110212200221 2001200220012202220200211201101011202211100022201212100200001010
