Wiek	Kobiety	Mê¿czyŸni
0	2853	3028
1	2857	3015
2	2808	2988
3	2767	2959
4	2749	2918
5	2537	2750
6	2498	2608
7	2347	2540
8	2353	2528
9	2362	2489
10	2443	2547
11	2474	2541
12	2487	2516
13	2465	2737
14	2675	2718
15	2692	2878
16	3180	3174
17	3198	3258
18	3374	3369
19	4095	3706
20	4289	3871
21	4375	4166
22	4445	4150
23	4511	4213
24	4482	4278
25	4681	4498
26	5072	5029
27	5365	5188
28	5472	5258
29	5621	5190
30	5395	5095
31	5514	5108
32	5306	5230
33	4945	4883
34	4928	4979
35	5053	5026
36	4819	4660
37	4533	4497
38	4339	4257
39	4142	3996
40	3912	3876
41	3795	3707
42	3517	3369
43	3662	3324
44	3526	3229
45	3445	3151
46	3578	3203
47	3624	3351
48	3660	3322
49	3670	3413
50	3907	3456
51	4295	3646
52	4520	3938
53	5110	4275
54	5227	4366
55	5290	4415
56	5354	4400
57	5377	4220
58	5217	4067
59	5114	4019
60	5212	3985
61	5221	3945
62	4970	3841
63	4855	3661
64	4455	3208
65	4164	3056
66	2485	1870
67	2738	1897
68	2777	2001
69	2726	1938
70	2860	1892
71	2660	1806
72	2760	2721
73	2719	2685
74	2586	2564
75	2549	1999
76	2484	2472
77	2335	2275
78	2197	1332
79	2261	1328
80	1978	1432
