ID_typu	Producent	Model	Liczba_miejsc	Waga_max
A330-300	Airbus	A330-300	440	242000
A320-200	Airbus	A320-200	150	77000
A330-200	Airbus	A330-200	253	242000
737-800	Boeing	737-800	189	79015
777-200ER	Boeing	777-200ER	440	347814
767-300ER	Boeing	767-300ER	375	186880
747-8	Boeing	747-8	605	448000
CH35	Bombardier	Challenger 350	10	17235
CR9	Bombardier	CRJ900	76	38000
C750	Cessna	Citation X	12	22630
E190	Embraer	E190	100	50300
E175	Embraer	E175	88	40600
E195	Embraer	E195	124	50600
G280	Gulfstream	G280	19	16450
G7000	Gulfstream	G7000	19	41300
