lp;czas;nr rej
1;00:00:00;BB2150
2;00:00:38;BB2990
3;00:01:59;CA8204
4;00:02:43;BB3210
5;00:03:42;CC2007
6;00:04:50;BB7992
7;00:05:27;CA9644
8;00:06:22;BB9868
9;00:06:42;AA4375
10;00:07:06;BB3689
11;00:08:09;AC3655
12;00:08:55;AB5079
13;00:09:53;BA8243
14;00:11:15;BB8321
15;00:12:26;AB3448
16;00:13:09;BA5164
17;00:13:43;BA1308
18;00:14:58;CC9741
19;00:16:12;CA4882
20;00:17:01;AB1438
21;00:17:24;AB4619
22;00:18:14;AA2309
23;00:19:23;AC1031
24;00:20:19;BC7692
25;00:21:43;AC2048
26;00:23:01;AB5355
27;00:23:41;CA4027
28;00:24:16;BA3216
29;00:24:29;AA8869
30;00:25:42;AC7076
31;00:26:34;AB8167
32;00:27:30;BB8759
33;00:28:58;CA4887
34;00:30:05;CC7342
35;00:30:41;BA3258
36;00:31:27;BC9828
37;00:32:21;CC2395
38;00:33:41;BB4878
39;00:35:00;CC1318
40;00:36:27;CB9982
41;00:36:44;BA6883
42;00:37:38;CC1190
43;00:39:02;CA8204
44;00:39:36;BB8521
45;00:40:11;AB7848
46;00:41:44;AB2720
47;00:42:57;BB1991
48;00:44:08;BC8155
49;00:45:00;CB7596
50;00:46:32;BA4833
51;00:48:22;BA1897
52;00:49:51;CC2773
53;00:50:15;AC8816
54;00:51:54;AB9226
55;00:52:42;BC2352
56;00:53:55;BC8882
57;00:54:22;AC8284
58;00:55:39;CB3548
59;00:56:47;AA7811
60;00:58:07;AA9462
61;00:59:21;BA6667
62;01:00:09;BB3689
63;01:00:45;CA8204
64;01:01:26;BA7547
65;01:01:52;CB4954
66;01:02:49;AC7939
67;01:03:43;CA1243
68;01:04:45;AC7247
69;01:05:56;CA5405
70;01:07:09;BB2587
71;01:07:45;AC7981
72;01:08:22;AA9439
73;01:09:05;AC7242
74;01:09:27;AC5506
75;01:10:45;BC1286
76;01:12:15;AA5026
77;01:13:35;BB9827
78;01:14:11;CC9594
79;01:14:49;AB4049
80;01:15:22;CC3133
81;01:15:25;CC3624
82;01:16:26;BB8893
83;01:16:38;CC2507
84;01:16:53;BB8448
85;01:17:36;BB2072
86;01:18:21;AA4965
87;01:19:30;CC8094
88;01:20:22;CA6890
89;01:21:05;AC7983
90;01:22:04;AA7320
91;01:22:31;BA6160
92;01:23:33;BB1249
93;01:24:28;AC5329
94;01:24:37;CC1572
95;01:25:33;BB9153
96;01:26:12;AA9065
97;01:27:52;AC5505
98;01:28:58;AA5523
99;01:29:11;BB2221
100;01:29:54;CB7415
101;01:30:03;AB8082
102;01:31:25;BC9211
103;01:31:38;AA8390
104;01:31:52;CA9848
105;01:33:08;CA8752
106;01:33:18;CA4103
107;01:34:23;BC6154
108;01:35:21;CC6149
109;01:35:47;AB4377
110;01:36:25;BB3451
111;01:37:12;AA7376
112;01:38:21;AC2141
113;01:39:09;AC8372
114;01:40:07;CB4774
115;01:41:03;BB4884
116;01:42:32;BA5310
117;01:43:06;AB5728
118;01:43:54;CA8204
119;01:45:09;BC7540
120;01:46:23;AC7939
121;01:46:57;AC9358
122;01:47:33;AC7247
123;01:48:33;CB2322
124;01:49:41;AC7981
125;01:50:07;CB8390
126;01:51:47;AC5506
127;01:52:00;CA7527
128;01:52:36;CA5676
129;01:52:50;AC1285
130;01:53:31;BA4017
131;01:53:52;CA1110
132;01:54:31;BC6753
133;01:55:00;BA2242
134;01:55:59;CC2346
135;01:56:35;BB8442
136;01:57:28;BB1305
137;01:57:34;BA4607
138;01:57:55;AC9310
139;01:58:46;CC3107
140;01:59:35;CA5736
141;01:59:45;BB3689
142;02:00:25;BB3221
143;02:00:41;BB3689
144;02:00:52;CB8737
145;02:01:12;CB2532
146;02:01:33;CA8204
147;02:01:41;AA6569
148;02:01:45;BC5512
149;02:02:06;AB7984
150;02:02:30;CA4382
151;02:03:28;CA6646
152;02:04:26;AC7939
153;02:05:06;AA1625
154;02:05:32;CC5544
155;02:05:52;AC7247
156;02:06:12;CA2152
157;02:06:37;AC7981
158;02:06:57;AC5506
159;02:07:18;BA1249
160;02:08:01;BC4377
161;02:08:05;AC5684
162;02:08:08;CA6382
163;02:08:26;AB5872
164;02:09:09;AB7430
165;02:09:55;AA8082
166;02:10:01;AC7997
167;02:10:51;CB5132
168;02:11:12;CA6295
169;02:12:03;BA4678
170;02:12:04;AA6473
171;02:12:34;CA6636
172;02:12:43;AA9098
173;02:12:59;BB5340
174;02:13:32;AB6966
175;02:14:19;BA7230
176;02:14:57;AB4584
177;02:15:54;CB1816
178;02:15:57;AC1502
179;02:16:06;AA4199
180;02:16:59;AC2235
181;02:17:41;BA1870
182;02:18:32;BA4874
183;02:19:02;AA2489
184;02:19:53;CA5105
185;02:20:09;AB2436
186;02:20:58;CA8234
187;02:21:14;BA3841
188;02:21:39;BC2363
189;02:22:38;BA6082
190;02:23:18;BB9555
191;02:23:25;AA5091
192;02:23:51;BA4411
193;02:24:48;CC6047
194;02:25:36;CA6192
195;02:25:50;BB4379
196;02:26:15;CA7806
197;02:26:50;CC3906
198;02:27:33;CC4061
199;02:28:08;AA2641
200;02:29:05;AC2491
201;02:29:59;AA9045
202;02:30:30;AC2382
203;02:30:33;BC5106
204;02:31:13;BB2076
205;02:32:04;BC6319
