ID_serwisu	ID_samolotu	Data_serwisu	ID_naprawy
1	25	14.01.2002	s9
2	25	01.08.2002	s1
3	25	11.07.2003	s30
4	24	26.04.2004	s13
5	25	26.04.2004	s9
6	24	25.10.2004	s15
7	25	03.02.2005	s17
8	24	19.06.2005	s27
9	25	31.10.2005	s15
10	6	02.11.2005	s6
11	24	07.02.2006	s15
12	6	13.09.2006	s7
13	25	25.10.2006	s8
14	24	23.12.2006	s11
15	23	13.02.2007	s1
16	6	21.05.2007	s10
17	24	23.09.2007	s24
18	25	03.10.2007	s30
19	23	10.11.2007	s25
20	6	06.05.2008	s25
21	21	01.06.2008	s29
22	23	14.07.2008	s17
23	24	19.09.2008	s11
24	25	06.10.2008	s18
25	6	29.12.2008	s7
26	21	07.01.2009	s7
27	25	23.06.2009	s25
28	24	25.06.2009	s1
29	23	15.07.2009	s22
30	21	19.08.2009	s22
31	6	25.12.2009	s24
32	20	13.01.2010	s23
33	24	21.01.2010	s9
34	23	08.02.2010	s21
35	25	26.03.2010	s7
36	6	09.07.2010	s13
37	21	16.07.2010	s26
38	23	09.11.2010	s20
39	1	28.11.2010	s5
40	24	11.12.2010	s17
41	7	07.01.2011	s7
42	20	28.01.2011	s8
43	25	30.01.2011	s20
44	21	01.02.2011	s11
45	4	27.05.2011	s24
46	6	08.06.2011	s30
47	21	01.08.2011	s13
48	25	03.08.2011	s27
49	1	12.08.2011	s7
50	41	09.09.2011	s26
51	7	28.09.2011	s1
52	24	29.09.2011	s6
53	23	16.10.2011	s1
54	4	23.12.2011	s32
55	20	16.01.2012	s32
56	3	21.02.2012	s8
57	25	28.02.2012	s15
58	21	21.04.2012	s32
59	1	29.04.2012	s22
60	6	01.06.2012	s19
61	4	27.06.2012	s24
62	35	04.07.2012	s20
63	7	14.09.2012	s4
64	41	14.09.2012	s32
65	3	20.09.2012	s12
66	20	10.10.2012	s24
67	23	12.10.2012	s26
68	24	13.10.2012	s22
69	25	01.11.2012	s29
70	21	06.12.2012	s26
71	13	09.01.2013	s4
72	26	26.02.2013	s3
73	1	01.03.2013	s6
