IDENT;RokTTL
1005;1977
1007;1963
1009;1976
1019;1962
1021;1984
1030;1999
1031;1985
1036;1960
1039;1986
1041;1975
1042;1988
1048;2007
1052;1990
1054;1986
1055;1993
1056;1980
1058;1992
1059;1993
1062;1991
1063;1962
1067;1994
1077;1969
1078;1980
1079;1973
1083;1993
1089;1994
1090;1969
1092;1998
1102;1967
1105;1984
1106;1995
1124;1960
1141;1999
1145;1978
1146;1963
1149;1992
1155;1995
1158;1972
1161;1991
1162;1972
1167;1969
1178;1964
1183;1979
1184;1985
1187;1983
1189;1961
1190;1962
1194;1962
1199;1963
1204;1960
1207;2010
1216;1992
1220;1983
1228;1964
1230;1991
1237;1977
1239;1963
1244;1996
1246;1965
1251;1979
1254;1969
1257;1996
1258;1987
1273;1973
1284;1978
1289;1983
1295;1966
1311;2004
1318;1961
1327;1982
1339;1967
1358;1967
1359;1978
1365;1975
1366;1989
1367;1993
1368;1991
1383;1968
1388;1979
1396;1975
1402;1976
1405;1988
1421;1978
1422;1962
1428;1975
1429;1980
1438;1982
1439;1987
1448;1981
1455;1973
1465;1974
1475;1988
1479;1971
1481;1992
1483;1974
1484;1991
1493;1974
1518;1965
1519;1989
1529;1979
1532;1987
1540;1988
1544;1986
1556;1973
1559;1994
1561;1996
1563;1970
1565;1962
1569;1999
1570;1985
1576;1981
1579;1986
1587;1977
1588;1982
1597;1974
1605;1967
1615;1978
1621;1982
1623;1971
1626;1969
1634;1987
1646;1987
1647;1992
1649;1963
1653;1967
1655;1975
1659;1990
1663;1990
1665;1979
1667;1963
1668;1969
1682;1996
1687;1974
1688;1989
1695;1969
1698;2007
1700;1975
1711;1994
1715;1998
1737;1980
1739;1995
1746;1995
1747;1970
1758;1998
1759;1995
1761;1967
1762;1975
1763;1973
1767;1993
1769;1967
1776;1980
1779;1986
1781;1988
1783;2007
1784;1977
1785;1985
1787;1979
1795;1961
1797;1962
1800;1992
1801;1986
1803;1986
1804;2008
1812;1992
1815;1962
1824;1967
1828;1989
1833;1987
1834;2007
1835;1964
1839;1975
1842;1971
1844;1986
1846;1986
1849;1974
1853;1976
1857;1964
1861;1976
1863;1978
1866;1967
1867;1965
1869;1969
1880;1993
1883;1976
1884;1978
1888;1961
1891;1991
1899;1971
1900;1992
1904;1992
1910;1970
1913;1991
