nr_lokalu	miesiac	czynsz	smieci	gaz	woda
01/001	1	725,66	60	8,5	110,5
01/001	2	725,66	60	8,5	110,5
01/001	3	725,66	60	8,5	115,5
01/001	4	725,66	80	8,5	115,5
01/001	5	748,54	80	8,5	123,3
01/001	6	748,54	80	16,4	123,3
01/001	7	748,54	90	16,4	110,1
01/001	8	748,54	90	16,4	110,1
01/001	9	748,54	90	16,4	117,6
01/001	10	755,65	120	16,4	117,6
01/001	11	755,65	120	16,4	115,4
01/001	12	755,65	120	16,4	115,4
01/002	1	654,54	60	8,5	142,55
01/002	2	654,54	60	8,5	142,55
01/002	3	654,54	60	8,5	142,55
01/002	4	654,54	80	8,5	142,55
01/002	5	676,69	80	8,5	154,51
01/002	6	676,69	80	16,4	154,51
01/002	7	676,69	90	16,4	154,51
01/002	8	676,69	90	16,4	154,51
01/002	9	676,69	90	16,4	148,51
01/002	10	701,65	120	16,4	148,51
01/002	11	701,65	120	16,4	148,51
01/002	12	701,65	120	16,4	148,51
01/003	1	725,66	60	8,5	75,61
01/003	2	725,66	60	8,5	75,61
01/003	3	725,66	60	8,5	75,61
01/003	4	725,66	80	8,5	75,61
01/003	5	748,54	80	8,5	75,61
01/003	6	748,54	80	16,4	75,61
01/003	7	748,54	90	16,4	81,56
01/003	8	748,54	90	16,4	81,56
01/003	9	748,54	90	16,4	81,56
01/003	10	755,65	120	16,4	81,56
01/003	11	755,65	120	16,4	81,56
01/003	12	755,65	120	16,4	81,56
01/004	1	725,66	60	8,5	71,65
01/004	2	725,66	60	8,5	71,65
01/004	3	725,66	60	8,5	71,65
01/004	4	725,66	80	8,5	71,65
01/004	5	748,54	80	8,5	71,65
01/004	6	748,54	80	16,4	71,65
01/004	7	748,54	90	16,4	78,41
01/004	8	748,54	90	16,4	78,41
01/004	9	748,54	90	16,4	78,41
01/004	10	755,65	120	16,4	78,41
01/004	11	755,65	120	16,4	78,41
01/004	12	755,65	120	16,4	78,41
01/005	1	654,54	60	8,5	73,65
01/005	2	654,54	60	8,5	73,65
01/005	3	654,54	60	8,5	73,65
01/005	4	654,54	80	8,5	73,65
01/005	5	676,69	80	8,5	73,65
01/005	6	676,69	80	16,4	73,65
01/005	7	676,69	90	16,4	81,56
01/005	8	676,69	90	16,4	81,56
