nr_lokalu	l_mieszkancow	id_wlasciciela
01/001	4	l1
01/002	6	l2
01/003	3	l3
01/004	2	l4
01/005	2	l5
01/006	4	l6
01/007	2	l7
01/008	6	l8
01/009	3	l9
01/010	5	l10
01/011	2	l11
01/012	6	l12
01/013	4	l3
01/014	3	l13
01/015	2	l14
01/016	2	l15
01/017	5	l16
01/018	5	l17
01/019	2	l3
01/020	3	l18
02/001	5	l19
02/002	6	l20
02/003	3	l21
02/004	2	l22
02/005	3	l23
02/006	5	l24
02/007	3	l25
02/008	4	l26
02/009	3	l27
02/010	5	l28
02/011	5	l29
02/012	3	l30
02/013	4	l31
02/014	3	l32
02/015	2	l30
02/016	4	l33
02/017	4	l34
02/018	2	l35
02/019	5	l36
02/020	2	l37
03/001	4	l38
03/002	3	l39
03/003	5	l39
03/004	5	l40
03/005	4	l41
03/006	5	l42
03/007	5	l43
03/008	6	l44
03/009	2	l33
03/010	5	l46
03/011	3	l47
03/012	5	l48
03/013	4	l33
03/014	3	l49
03/015	4	l50
04/001	5	l51
04/002	2	l52
04/003	5	l53
04/004	2	l54
04/005	2	l55
04/006	5	l56
04/007	5	l57
04/008	6	l58
04/009	2	l59
04/010	4	l60
04/011	2	l61
04/012	2	l62
04/013	3	l63
04/014	5	l64
04/015	6	l65
05/001	3	l66
05/002	2	l67
05/003	4	l68
05/004	6	l61
05/005	3	l69
05/006	2	l70
05/007	3	l71
05/008	4	l72
05/009	4	l73
05/010	3	l74
05/011	6	l75
05/012	2	l76
05/013	5	l77
05/014	5	l78
05/015	6	l79
05/016	6	l80
05/017	4	l81
05/018	4	l82
05/019	2	l83
05/020	4	l84
06/001	2	l61
06/002	3	l85
06/003	4	l86
06/004	3	l87
06/005	3	l88
06/006	6	l73
06/007	6	l81
06/008	6	l61
06/009	6	l45
06/010	4	l47
