Data m1 m2 m3 m4 m5 m6 m7 m8 m9 m10 m11 m12
06.05.2024 3 11 11 43 49 38 43 40 46 26 30 20
07.05.2024 2 8 14 43 39 47 43 38 48 27 27 20
08.05.2024 10 3 8 45 49 45 41 45 43 28 21 20
09.05.2024 8 9 14 44 39 38 42 40 46 29 33 18
10.05.2024 3 12 10 39 39 43 46 39 41 18 27 14
11.05.2024 1 2 8 39 43 49 41 38 45 18 31 19
12.05.2024 11 11 5 42 43 42 38 47 38 33 28 18
13.05.2024 9 14 13 49 49 46 45 42 45 24 23 18
14.05.2024 10 14 6 42 44 42 46 44 39 19 31 20
15.05.2024 5 3 8 40 41 42 48 48 44 33 21 19
16.05.2024 4 5 4 44 49 42 46 43 42 29 28 14
17.05.2024 3 1 1 49 40 48 43 44 43 31 25 19
18.05.2024 14 5 13 43 38 48 48 48 40 20 21 20
19.05.2024 3 6 12 49 39 38 39 49 47 27 32 20
20.05.2024 8 14 2 45 49 46 41 43 43 22 21 18
21.05.2024 8 4 3 48 49 45 40 44 44 22 18 18
22.05.2024 4 12 11 43 44 42 43 39 39 32 24 14
23.05.2024 14 10 14 39 47 45 40 44 45 30 29 18
24.05.2024 8 9 6 43 46 43 46 48 40 24 24 20
25.05.2024 6 10 10 46 46 45 49 49 38 18 24 18
26.05.2024 8 3 12 42 42 40 41 39 42 20 18 20
27.05.2024 7 8 1 49 43 41 38 41 39 18 26 14
28.05.2024 9 3 10 49 42 48 44 39 49 20 19 18
29.05.2024 11 13 4 42 47 44 44 42 42 32 19 19
30.05.2024 14 8 1 45 41 42 42 43 44 18 32 14
31.05.2024 13 2 12 42 49 42 40 42 48 33 23 16
01.06.2024 2 5 2 41 43 38 46 41 43 22 28 16
02.06.2024 8 8 1 38 43 42 38 49 48 21 19 19
03.06.2024 11 12 2 49 42 47 48 48 38 32 33 16
04.06.2024 10 2 8 49 43 42 42 40 48 27 24 14
05.06.2024 7 1 11 40 45 45 40 48 41 22 27 20
06.06.2024 5 7 5 46 38 48 42 43 46 18 33 14
07.06.2024 9 4 1 48 42 44 38 38 48 26 18 19
08.06.2024 10 5 12 43 40 38 45 43 44 20 20 20
09.06.2024 3 2 6 38 46 43 38 45 44 32 24 14
10.06.2024 8 3 11 44 42 38 45 42 41 19 29 20
11.06.2024 4 4 14 43 38 47 49 44 49 29 24 18
12.06.2024 12 2 4 41 46 40 46 49 48 20 33 15
13.06.2024 5 4 13 43 44 48 38 40 45 32 33 18
14.06.2024 5 13 14 45 44 39 47 42 44 24 23 20
15.06.2024 10 9 3 40 39 47 44 38 45 23 22 18
16.06.2024 14 4 1 42 41 45 38 42 38 30 20 20
17.06.2024 3 12 7 45 40 42 46 40 43 28 18 15
18.06.2024 2 13 9 39 42 39 47 49 47 29 33 20
19.06.2024 8 5 10 38 41 45 47 41 40 29 23 19
20.06.2024 13 6 1 45 43 45 47 44 41 20 24 15
