nr_lokalu	miesiac	kwota
01/001	1	904,66
01/001	2	904,66
01/001	3	909,66
01/001	4	929,66
01/001	5	960,34
01/001	6	968,24
01/001	7	965,04
01/001	8	965,04
01/001	9	972,54
01/001	10	1009,65
01/001	11	1007,45
01/001	12	1007,45
01/002	1	865,59
01/002	2	865,59
01/002	3	865,59
01/002	4	885,59
01/002	5	919,7
01/002	6	927,6
01/002	7	937,6
01/002	8	937,6
01/002	9	931,6
01/002	10	986,56
01/002	11	986,56
01/002	12	986,56
01/003	1	869,77
01/003	2	869,77
01/003	3	869,77
01/003	4	889,77
01/003	5	912,65
01/003	6	920,55
01/003	7	936,5
01/003	8	936,5
01/003	9	936,5
01/003	10	973,61
01/003	11	973,61
01/003	12	973,61
01/004	1	865,81
01/004	2	865,81
01/004	3	865,81
01/004	4	885,81
01/004	5	908,69
01/004	6	916,59
01/004	7	933,35
01/004	8	933,35
01/004	9	933,35
01/004	10	970,46
01/004	11	970,46
01/004	12	970,46
01/005	1	796,69
01/005	2	796,69
01/005	3	796,69
01/005	4	816,69
01/005	5	838,84
01/005	6	846,74
01/005	7	864,65
01/005	9	1729,3
01/005	10	919,61
01/005	11	919,61
01/005	12	919,61
01/006	1	889,72
01/006	2	889,72
01/006	3	889,72
01/006	4	909,72
01/006	5	932,6
01/006	6	940,5
01/006	7	960,59
01/006	8	960,59
01/006	9	960,59
01/006	10	997,7
01/006	11	997,7
01/006	12	997,7
01/007	1	875,47
01/007	2	875,47
01/007	3	875,47
01/007	4	895,47
01/007	5	918,35
01/007	6	926,25
01/007	7	928,15
01/007	8	928,15
01/007	9	928,15
01/007	10	965,26
01/007	11	965,26
01/007	12	965,26
01/008	1	857,68
01/008	2	857,68
01/008	3	857,68
01/008	4	877,68
01/008	5	899,83
01/008	6	907,73
01/008	7	942
01/008	9	1884
01/008	10	996,96
01/008	11	996,96
01/008	12	996,96
01/009	1	895,66
01/009	2	895,66
01/009	3	895,66
01/009	4	934,49
01/009	5	957,37
01/009	6	965,27
01/009	7	975,27
01/009	8	966,56
01/009	9	966,56
01/009	10	1003,67
01/009	11	1003,67
01/009	12	1003,67
01/010	1	937,72
01/010	2	937,72
01/010	3	937,72
01/010	4	957,72
01/010	5	980,6
01/010	6	998,29
01/010	7	1008,29
01/010	8	1008,29
01/010	9	1008,29
01/010	10	1044,41
01/010	11	1044,41
01/010	12	1044,41
01/011	1	797,26
01/011	2	797,26
01/011	3	797,26
01/011	4	817,26
01/011	5	839,41
01/011	6	852,64
01/011	7	862,64
01/011	8	862,64
01/011	9	862,64
01/011	10	917,6
01/011	11	912,38
01/011	12	912,38
01/012	1	918,66
01/012	2	918,66
01/012	3	918,66
01/012	4	949,56
01/012	5	972,44
01/012	6	980,34
01/012	7	990,34
01/012	8	1000,57
01/012	9	1000,57
01/012	10	1037,68
01/012	11	1025,55
01/012	12	1025,55
01/013	1	895,66
01/013	2	895,66
01/013	3	895,66
01/013	4	934,49
01/013	5	957,37
01/013	6	965,27
01/013	7	975,27
01/013	8	966,56
01/013	9	966,56
01/013	10	1003,67
01/013	11	1003,67
01/013	12	1003,67
01/014	1	804,35
01/014	2	804,35
01/014	3	804,35
01/014	4	824,35
01/014	5	846,5
01/014	6	854,4
01/014	7	856,3
01/014	8	856,3
01/014	9	856,3
01/014	10	911,26
01/014	11	911,26
01/014	12	911,26
01/015	1	868,38
01/015	2	868,38
01/015	3	868,38
01/015	4	888,38
01/015	5	911,26
01/015	6	924,49
01/015	7	934,49
01/015	8	934,49
01/015	9	934,49
01/015	10	971,6
01/015	11	966,38
01/015	12	966,38
01/016	1	871,72
01/016	2	871,72
01/016	3	871,72
01/016	4	891,72
01/016	5	914,6
01/016	6	930,59
01/016	7	940,59
01/016	8	940,59
01/016	9	940,59
01/016	10	973,39
01/016	11	973,39
01/016	12	973,39
01/017	1	877,29
01/017	2	877,29
01/017	3	877,29
01/017	4	908,29
01/017	5	930,44
01/017	6	938,34
01/017	7	948,34
01/017	8	943,31
01/017	9	943,31
01/017	10	998,27
01/017	11	998,27
01/017	12	998,27
01/018	1	937,72
01/018	2	937,72
01/018	3	937,72
01/018	4	957,72
01/018	5	980,6
01/018	6	998,29
01/018	7	1008,29
01/018	8	1008,29
01/018	9	1008,29
01/018	10	1044,41
01/018	11	1044,41
01/018	12	1044,41
01/019	1	875,47
01/019	2	875,47
01/019	3	875,47
01/019	4	895,47
01/019	5	918,35
01/019	6	926,25
01/019	7	928,15
01/019	8	928,15
01/019	9	928,15
01/019	10	965,26
01/019	11	965,26
01/019	12	965,26
01/020	1	824,54
01/020	2	824,54
01/020	3	824,54
01/020	4	863,37
01/020	5	885,52
01/020	6	893,42
01/020	7	903,42
01/020	8	894,71
01/020	9	894,71
01/020	10	949,67
01/020	11	949,67
01/020	12	949,67
02/001	1	972,66
02/001	2	972,66
02/001	3	987,66
02/001	4	1001,01
02/001	5	1015,99
02/001	6	1020,89
02/001	7	1039,69
02/001	8	1039,69
02/001	9	1042,4
02/001	10	1081,05
02/001	11	1081,05
02/001	12	1081,05
02/002	1	904,21
02/002	2	904,21
02/002	3	919,21
02/002	4	953,41
02/002	5	953,41
02/002	6	958,31
02/002	7	996,25
02/002	8	996,25
02/002	9	996,25
02/002	10	1017,36
02/002	11	1017,36
02/002	12	1017,36
02/003	1	789,22
02/003	2	789,22
02/003	3	804,22
02/003	4	809,22
02/003	5	809,22
02/003	6	814,12
02/003	7	923,24
02/003	8	923,24
02/003	9	923,24
02/003	10	928,52
02/003	11	928,52
02/003	12	928,52
02/004	1	556,95
02/004	2	556,95
02/004	3	571,95
02/004	4	571,95
02/004	5	571,95
02/004	6	719,12
02/004	7	749,12
