ID GMINY;Nazwa gminy
060802;Abramów
061103;Adamów
062001;Adamów
181402;Adamówka
101001;Aleksandrów
060202;Aleksandrów
040101;Aleksandrów Kujawski
040104;Aleksandrów Kujawski
102004;Aleksandrów £ódzki
120301;Alwernia
100602;Andrespol
121801;Andrychów
141602;Andrzejewo
060702;Annopol
200101;Augustów
200102;Augustów
300902;Babiak
120302;Babice
080901;Babimost
160201;Baborów
142003;Baboszewo
260601;Baækowice
201201;Baka³arzewo
182101;Baligród
260702;Ba³tów
320601;Banie
281801;Banie Mazurskie
141501;Baranowo
140503;Baranów
300801;Baranów
061402;Baranów
182001;Baranów Sandomierski
280802;Barciany
041901;Barcin
281401;Barczewo
022401;Bardo
200103;Barg³ów Koœcielny
321001;Barlinek
280101;Bartoszyce
280103;Bartoszyce
041802;Baruchowo
321502;Barwice
060501;Batorz
040105;B¹dkowo
100202;Bedlno
260301;Bejsce
140601;Belsk Du¿y
100101;Be³chatów
100102;Be³chatów
061802;Be³¿ec
060901;Be³¿yce
181702;Besko
240202;Bestwina
101602;Bêdków
240101;Bêdzin
320901;Bêdzino
101701;Bia³a
161001;Bia³a
281601;Bia³a Piska
060103;Bia³a Podlaska
066101;Bia³a Podlaska
101302;Bia³a Rawska
100701;Bia³aczów
040301;Bia³e B³ota
140101;Bia³obrzegi
181002;Bia³obrzegi
320101;Bia³ogard
320102;Bia³ogard
060302;Bia³opole
301902;Bia³oœliwie
200502;Bia³owie¿a
321503;Bia³y Bór
121702;Bia³y Dunajec
206101;Bia³ystok
120502;Biecz
142902;Bielany
020201;Bielawa
100502;Bielawy
321201;Bielice
260401;Bieliny
141901;Bielsk
200301;Bielsk Podlaski
200303;Bielsk Podlaski
246101;Bielsko-Bia³a
160302;Bierawa
241401;Bieruñ
021402;Bierutów
320201;Bierzwnik
320902;Biesiekierz
143701;Bie¿uñ
060201;Bi³goraj
060203;Bi³goraj
181301;Bircza
121901;Biskupice
281202;Biskupiec
281402;Biskupiec
060204;Biszcza
280104;Bisztynek
240401;Blachownia
080301;Bledzew
300701;Blizanów
261002;Bli¿yn
101402;B³aszki
181602;B³a¿owa
140602;B³êdów
143201;B³onie
320903;Bobolice
120503;Bobowa
221304;Bobowo
080202;Bobrowice
240104;Bobrowniki
040802;Bobrowniki
040202;Bobrowo
120101;Bochnia
120102;Bochnia
200304;Boæki
141902;Bodzanów
260703;Bodzechów
260402;Bodzentyn
022503;Bogatynia
080102;Bogdaniec
261201;Bogoria
181603;Boguchwa³a
022101;Boguszów-Gorce
141603;Boguty-Pianki
080902;Bojad³a
302201;Bojanowo
181802;Bojanów
241404;Bojszowy
020101;Boleslawiec
120401;Boles³aw
121203;Boles³aw
101801;Boles³awiec
020102;Boles³awiec
321002;Boleszkowice
101501;Bolimów
020502;Bolków
041803;Boniewo
300401;Borek Wielkopolski
061502;Borki
142301;Borkowice
321504;Borne Sulinowo
240702;Boronów
181102;Borowa
140303;Borowie
021701;Borów
060902;Borzechów
120201;Borzêcin
220101;Borzytuchom
300802;Bralin
160202;Branice
280201;Braniewo
280202;Braniewo
200302;Brañsk
200305;Brañsk
143501;Brañszczyk
101403;Br¹szewice
240304;Brenna
142802;Brochów
302601;Brodnica
040201;Brodnica
040203;Brodnica
261102;Brody
081103;Brody
100603;Brojce
320501;Brojce
141604;Brok
141903;Brudzeñ Du¿y
302702;Brudzew
220202;Brusy
142103;Brwinów
160101;Brzeg
022201;Brzeg Dolny
120202;Brzesko
121302;Brzeszcze
041804;Brzeœæ Kujawski
102101;Brzeziny
102102;Brzeziny
300702;Brzeziny
121802;BrzeŸnica
081003;BrzeŸnica
101404;BrzeŸnio
321602;Brze¿no
180302;Brzostek
040204;Brzozie
180201;Brzozów
041202;Brzuze
180502;Brzyska
100301;Buczek
240203;Buczkowice
281901;Budry
101603;Budziszowice
121503;Budzów
300102;Budzyñ
302103;Buk
041401;Bukowiec
121703;Bukowina Tatrzañska
121201;Bukowno
181703;Bukowsko
141904;Bulkowo
101405;Burzenin
260101;Busko-Zdrój
060903;Bychawa
160401;Byczyna
046101;Bydgoszcz
121504;Bystra-Sidzina
020806;Bystrzyca K³odzka
080203;Bytnica
246201;Bytom
080402;Bytom Odrzañski
041102;Bytoñ
220102;Bytów
220402;Cedry Wielkie
320602;Cedynia
141204;Ceg³ów
041601;Cekcyn
300703;Ceków-Kolonia
141703;Celestynów
142903;Ceranów
220803;Cewice
120801;Charsznica
100503;Ch¹œno
060303;Che³m
066201;Che³m
241405;Che³m Œl¹ski
121303;Che³mek
121002;Che³miec
040401;Che³mno
040402;Che³mno
041501;Che³m¿a
041502;Che³m¿a
260403;Chêciny
143001;Chlewiska
180403;Ch³opice
181604;Chmielnik
260404;Chmielnik
220501;Chmielno
041805;Choceñ
021601;Chocianów
321402;Chociwel
302001;Chocz
221504;Choczewo
041806;Chodecz
061201;Chodel
300903;Chodów
300101;Chodzie¿
300103;Chodzie¿
320603;Chojna
220201;Chojnice
220203;Chojnice
020901;Chojnów
020902;Chojnów
180701;Chorkówka
200201;Choroszcz
142202;Chorzele
246301;Chorzów
320202;Choszczno
140901;Chotcza
040803;Chrostkowo
120303;Chrzanów
060502;Chrzanów
160901;Chrz¹stowice
301401;Chrzypsko Wielkie
240305;Chybie
140603;Chynów
240703;Ciasna
201302;Ciechanowiec
140201;Ciechanów
140202;Ciechanów
040502;Ciechocin
040102;Ciechocinek
101303;Ciel¹dz
140902;Ciepielów
022402;Ciep³owody
180902;Cieszanów
021301;Cieszków
240301;Cieszyn
121601;Ciê¿kowice
160303;Cisek
182102;Cisna
180601;Cmolas
080501;Cybinka
061001;Cyców
301801;Czajków
320301;Czaplinek
180103;Czarna
180303;Czarna
181003;Czarna
200202;Czarna Bia³ostocka
220103;Czarna D¹brówka
221301;Czarna Woda
220302;Czarne
141502;Czarnia
300201;Czarnków
300202;Czarnków
101002;Czarnocin
260302;Czarnocin
101702;Czarno¿y³y
022104;Czarny Bór
121103;Czarny Dunajec
101802;Czastary
120203;Czchów
240204;Czechowice-Dziedzice
240102;CzeladŸ
061503;Czemierniki
301102;Czempiñ
200503;Czeremcha
181103;Czermin
302002;Czermin
022301;Czernica
142203;Czernice Borowe
120601;Czernichów
241702;Czernichów
300302;Czerniejewo
101604;Czerniewice
041503;Czernikowo
220204;Czersk
080903;Czerwieñsk
141503;Czerwin
142004;Czerwiñsk Nad Wis³¹
302104;Czerwonak
141102;Czerwonka
241201;Czerwonka-Leszczyny
246401;Czêstochowa
321702;Cz³opa
220301;Cz³uchów
220303;Cz³uchów
121104;Czorsztyn
141402;Czosnów
181901;Czudec
200504;Czy¿e
201303;Czy¿ew-Osada
260704;Æmielów
260405;Daleszyce
101101;Dalików
302802;Damas³awek
221202;Damnica
321301;Dar³owo
321303;Dar³owo
100402;Daszyna
300904;D¹bie
080204;D¹bie
160902;D¹browa
040901;D¹browa
201101;D¹browa Bia³ostocka
040702;D¹browa Biskupia
040302;D¹browa Che³miñska
246501;D¹browa Górnicza
120402;D¹browa Tarnowska
240402;D¹browa Zielona
100203;D¹browice
143405;D¹brówka
281502;D¹brówno
220304;Debrzno
080103;Deszczno
141205;Dêbe Wielkie
180301;Dêbica
180304;Dêbica
061601;Dêblin
221203;Dêbnica Kaszubska
120204;Dêbno
321003;Dêbno
061301;Dêbowa K³oda
041702;Dêbowa £¹ka
180503;Dêbowiec
240306;Dêbowiec
022302;D³ugo³êka
143502;D³ugosiod³o
100803;D³utów
102103;Dmosin
120901;Dobczyce
080601;Dobiegniew
120703;Dobra
302703;Dobra
321801;Dobra
321101;Dobra Szczeciñska
040303;Dobrcz
141206;Dobre
041103;Dobre
281403;Dobre Miasto
160801;Dobrodzieñ
021903;Dobromierz
100804;Dobroñ
021403;Dobroszyce
101202;Dobryszyce
321403;Dobrzany
160903;Dobrzeñ Wielki
302003;Dobrzyca
200203;Dobrzyniewo Du¿e
040804;Dobrzyñ Nad Wis³¹
321404;Dolice
302602;Dolsk
060402;Do³hobyczów
142601;Domanice
100504;Domaniewice
021502;Domaniów
180202;Domaradz
160601;Domaszowice
302501;Dominowo
302105;Dopiewo
060304;Dorohusk
301802;Doruchów
041402;Dragacz
320203;Drawno
300203;Drawsko
320302;Drawsko Pomorskie
060104;Drelów
080602;Drezdenko
141905;Drobin
201002;Drohiczyn
100103;Dru¿bice
120103;Drwinia
100702;Drzewica
041403;Drzycim
281802;Dubeninki
200505;Dubicze Cerkiewne
181302;Dubiecko
060305;Dubienka
180702;Dukla
302402;Duszniki
020801;Duszniki-Zdrój
260902;Dwikozy
180203;Dydnia
320802;Dygowo
181601;Dynów
181605;Dynów
281404;Dywity
201003;Dziadkowice
021404;Dziadowa K³oda
280301;Dzia³dowo
280302;Dzia³dowo
260801;Dzia³oszyce
100901;Dzia³oszyn
220602;Dziemiany
142005;Dzierz¹¿nia
221601;Dzierzgoñ
141302;Dzierzgowo
060703;Dzierzkowice
020202;Dzier¿oniów
020205;Dzier¿oniów
180606;Dzikowiec
320701;Dziwnów
060503;Dzwola
281702;DŸwierzuty
280401;Elbl¹g
286101;Elbl¹g
280501;E³k
280502;E³k
041807;Fabianki
060602;Fajs³awice
260501;Fa³ków
201202;Filipów
060803;Firlej
060205;Frampol
181303;Fredropol
280203;Frombork
181902;Frysztak
181403;Gaæ
101803;Galewice
140701;Garbatka-Letnisko
060904;Garbów
220702;Gardeja
140301;Garwolin
140304;Garwolin
241202;Gaszowice
181104;Gaw³uszowice
021602;Gaworzyce
141906;G¹bin
041902;G¹sawa
226101;Gdañsk
121902;Gdów
226201;Gdynia
200902;Giby
101203;Gidle
142302;Gielniów
240503;Giera³towice
281405;Gietrzwa³d
241703;Gilowice
302004;Giza³ki
280601;Gi¿ycko
280604;Gi¿ycko
140203;Glinojeck
246601;Gliwice
020301;G³ogów
020302;G³ogów
181606;G³ogów Ma³opolski
161002;G³ogówek
140702;G³owaczów
102001;G³owno
102005;G³owno
221204;G³ówczyce
160203;G³ubczyce
160701;G³ucho³azy
101502;G³uchów
060905;G³usk
022105;G³uszyca
221402;Gniew
221505;Gniewino
040703;Gniewkowo
140703;Gniewoszów
300301;Gniezno
300303;Gniezno
120205;Gnojnik
260102;Gnojno
241001;Gocza³kowice-Zdrój
280402;Godkowo
241505;Godów
101503;Godzianów
300704;Godziesze Wielkie
060504;Godziszów
160501;Gogolin
320702;Golczewo
320402;Goleniów
240307;Goleszów
301001;Golina
040501;Golub-Dobrzyñ
040503;Golub-Dobrzyñ
302803;Go³añcz
120802;Go³cza
281803;Go³dap
302005;Go³uchów
140204;Go³ymin-Oœrodek
101204;Gomunice
200801;Goni¹dz
060206;Goraj
120501;Gorlice
120504;Gorlice
101003;Gorzkowice
060603;Gorzków
160802;Gorzów Œl¹ski
086101;Gorzów Wielkopolski
182002;Gorzyce
241506;Gorzyce
041602;Gostycyn
140401;Gostynin
140402;Gostynin
300402;Gostyñ
101406;Goszczanów
140604;Goszczyn
060704;Goœcieradów
320803;Goœcino
260502;Gowarczów
141504;Goworowo
081001;Gozdnica
142702;Gozdowo
020401;Góra
141801;Góra Kalwaria
100403;Góra Œw. Ma³gorzaty
260406;Górno
280102;Górowo I³aweckie
280105;Górowo I³aweckie
140305;Górzno
040205;Górzno
080502;Górzyca
142502;Gózd
101004;Grabica
062002;Grabowiec
200602;Grabowo
100404;Grabów
140704;Grabów Nad Pilic¹
301803;Grabów Nad Prosn¹
200401;Grajewo
200402;Grajewo
300501;Granowo
040206;Gr¹¿awy
143302;Grêbków
021603;Grêbocice
120403;Grêboszów
182003;Grêbów
160103;Grodków
281203;Grodziczno
301002;Grodziec
201004;Grodzisk
140504;Grodzisk Mazowiecki
300502;Grodzisk Wielkopolski
180802;Grodzisko Dolne
020103;Gromadka
121602;Gromnik
280403;Gronowo Elbl¹skie
200204;Gródek
121003;Gródek Nad Dunajcem
140605;Grójec
140205;Grudusk
040601;Grudzi¹dz
046201;Grudzi¹dz
281503;Grunwald
040602;Gruta
121001;Grybów
121004;Grybów
320502;Gryfice
320604;Gryfino
021201;Gryfów Œl¹ski
300905;Grzegorzew
321505;Grzmi¹ca
080201;Gubin
080205;Gubin
142401;Gzy
180204;Haczów
200501;Hajnówka
200506;Hajnówka
141207;Halinów
061902;Hanna
061903;Hañsk
181201;Harasiuki
240308;Ha¿lach
221101;Hel
240704;Herby
060403;Horod³o
180903;Horyniec-Zdrój
060401;Hrubieszów
060404;Hrubieszów
141001;Huszlew
181607;Hy¿ne
120602;Igo³omia-Wawrzeñczyce
280701;I³awa
280703;I³awa
081004;I³owa
280303;I³owo-Osada
